PQJ1,PQJ2,PQJ3,PQJ4,PQJ5,xiashan,julongtan,OT
3.6,6.1,0.3,6.8,1.8,1000,422,1680
0.3,4.2,1.3,1.1,2,1000,426,1690
0.3,0.2,1.8,0,0.4,1000,426,1703
7.4,4,0.2,4,1,1245,424,1723
1.3,6,0,0.2,0.2,1191,424,1760
6.7,13.1,2,10.9,3.2,1107,421,1813
17.5,7.1,6.2,0.7,0.6,844,442,1870
0,0,0,0,0,1302,441,1973
0.1,0.5,0,0,0,1272,561,2240
17.8,13.1,34.7,5.9,11,1356,887,2603
14.3,4.2,1,2.2,0.8,1491,1004,2927
0.2,0.4,0,0,0,1593,877,3083
0.4,0.1,0,0,0,2074,601,3167
0,0,0,0,0,1997,425,3160
0,0,0,0,0,1875,543,3083
0,0,0,0,0,1516,610,2960
2.6,3.7,0.7,2.2,0,1799,623,2863
10.2,9.5,8.5,2.8,3.4,1414,500,2773
5.3,2.2,5.5,1.3,2.6,1376,455,2593
20.2,9,46.2,26,47.8,1050,444,2387
23.3,44.6,10.8,36.2,11.4,1784,546,2477
12.2,4.5,20.8,6.6,6.6,2712,964,3067
1,0.8,0.7,1.6,0.6,3189,1352,4253
0.3,0.1,0.3,0,0.4,3714,2026,5720
2,0,0,1.2,0,4014,1900,6800
1.8,1.1,0.2,0.3,0.2,3723,1985,7380
0,0.4,0,0,0,2762,1561,7220
2.4,6.9,4.8,0.6,0.4,2138,1383,6030
14.3,0.3,6.8,0.4,1.8,2370,676,4870
0.8,0.1,0,0,0,2074,783,4160
0,0,0,0,0,1875,826,3930
0.2,0,0.2,0,0,1807,763,3917
1,0,0,0,0.2,1982,590,3837
0.3,0,0.7,0.2,0,2178,562,3567
5,0,33.7,0,16,1664,456,3397
9.6,12.3,1.5,1.6,0,1446,497,3187
2.5,3.5,0,1.1,0,1619,536,3090
2.6,0.1,0.2,0.1,0,1529,467,2857
0,0,0,0,0,1792,524,2700
0,0,0,0,0,1921,700,2660
0,0,0,0,0,2114,801,2597
0,0,0,0,0,1678,617,2537
0,0,0,0,0,1644,474,2390
0,0,0,0,0,1260,481,2323
0,0,0,0,0,1152,431,2287
0,0,0,0,0,1116,457,2270
0,0,0,0,0,1146,470,2250
0,0,0,0,0,1050,459,2253
